# ================================================================================
# Inverse MPM Material Learning - Experiment Results
# Target: E*=450, nu=0.35, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# Tasks: dual-parameter external noisy, dual-parameter clean, single-E clean
# Methods: NN+FD and derivative-free baseline
# ================================================================================

## SECTION 1: Per-Epoch / Per-Search-Step Data
task,method,row_type,epoch_or_iter,loss,E_pred,nu_pred,E_abs_error,nu_abs_error,dL_dE_est,dL_dnu_est,h_mse,s_mse,F_mse,step_time_s,cumulative_time_s,E_true,nu_true,N_particles,N_steps,learn_param,obs_mode,noise_h,notes
DualParam_External_Noisy,NN+FD,epoch,93,8.366786e-08,450.393555,0.350115,0.393555,1.150310e-04,-2.679812e-11,-2.281653e-07,,,,0.829394,118.411565,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,94,8.365274e-08,450.373261,0.350174,0.37326,1.741588e-04,-1.037641e-10,-2.041060e-07,,,,0.891994,119.303559,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,95,8.363987e-08,450.39682,0.350263,0.39682,2.634764e-04,-1.455476e-10,-1.947694e-07,,,,0.812786,120.116345,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,96,8.363582e-08,450.457123,0.350377,0.457123,3.767550e-04,-1.349356e-10,-1.756129e-07,,,,0.796408,120.912753,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,97,8.360246e-08,450.539825,0.350509,0.539825,5.091071e-04,-9.327650e-11,-1.641837e-07,,,,0.809411,121.722164,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,98,8.359467e-08,450.628632,0.350655,0.628632,6.552875e-04,-3.998935e-11,-1.505837e-07,,,,0.817507,122.539671,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,99,8.358068e-08,450.697723,0.350807,0.697723,8.065939e-04,5.259082e-11,-1.184064e-07,,,,0.784777,123.324448,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,Baseline_Search,iteration,0,4.685224e-07,425,0.343333,25,0.006667,,,,,,54.306217,54.306217,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,Baseline_Search,iteration,1,1.806803e-07,466.666656,0.367778,16.666656,0.017778,,,,,,16.501028,70.807245,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,Baseline_Search,iteration,2,8.584906e-08,452.777771,0.351481,2.777771,0.001481,,,,,,16.472141,87.279387,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,Baseline_Search,evaluation,0,7.336490e-04,50,0.05,400,0.3,,,0.001014,6.322068e-07,0.053399,,,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
