# ================================================================================
# Inverse Physics Learning from Camera Projections - Experiment Results
# Target: E*=400, nu=0.4, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# ================================================================================

## SECTION 1: Per-Epoch Training Data
task,method,epoch,loss,E_pred,E_abs_error,dL_dE_est,epoch_time_s,E_true,nu_true,N_particles,N_steps
Baseline_3D,FD,161,2.785519e-11,400.012177,0.012177,7.865309e-12,0.418,400.0,0.400,8192,64
Baseline_3D,FD,162,4.141055e-11,400.015991,0.015991,1.355536e-11,0.417,400.0,0.400,8192,64
Baseline_3D,FD,163,6.379276e-11,400.019684,0.019684,2.238221e-11,0.419,400.0,0.400,8192,64
Baseline_3D,FD,164,8.026069e-11,400.023193,0.023193,1.646793e-11,0.409,400.0,0.400,8192,64
Baseline_3D,FD,165,1.050761e-10,400.026520,0.026520,2.481542e-11,0.418,400.0,0.400,8192,64
Baseline_3D,FD,166,1.338718e-10,400.029602,0.029602,2.879573e-11,0.426,400.0,0.400,8192,64
Baseline_3D,FD,167,1.626093e-10,400.032440,0.032440,2.873743e-11,0.424,400.0,0.400,8192,64
Baseline_3D,FD,168,1.912607e-10,400.035034,0.035034,2.865144e-11,0.412,400.0,0.400,8192,64
Baseline_3D,FD,169,2.356290e-10,400.037323,0.037323,4.436830e-11,0.411,400.0,0.400,8192,64
Baseline_3D,FD,170,2.528017e-10,400.039307,0.039307,1.717271e-11,0.413,400.0,0.400,8192,64
Baseline_3D,FD,171,2.865752e-10,400.041046,0.041046,3.377351e-11,0.415,400.0,0.400,8192,64
Baseline_3D,FD,172,3.138750e-10,400.042480,0.042480,2.729977e-11,0.413,400.0,0.400,8192,64
Baseline_3D,FD,173,3.251852e-10,400.043671,0.043671,1.131018e-11,0.412,400.0,0.400,8192,64
Baseline_3D,FD,174,3.672965e-10,400.044586,0.044586,4.211131e-11,0.442,400.0,0.400,8192,64
Baseline_3D,FD,175,3.708744e-10,400.045258,0.045258,3.577888e-12,0.412,400.0,0.400,8192,64
Baseline_3D,FD,176,3.788235e-10,400.045654,0.045654,7.949141e-12,0.409,400.0,0.400,8192,64
Baseline_3D,FD,177,3.714644e-10,400.045868,0.045868,7.359113e-12,0.407,400.0,0.400,8192,64
Baseline_3D,FD,178,3.897808e-10,400.045868,0.045868,1.831640e-11,0.416,400.0,0.400,8192,64
Baseline_3D,FD,179,3.812691e-10,400.045685,0.045685,8.511747e-12,0.406,400.0,0.400,8192,64
Baseline_3D,FD,180,3.918561e-10,400.045319,0.045319,1.058700e-11,0.421,400.0,0.400,8192,64
Baseline_3D,FD,181,3.730472e-10,400.044800,0.044800,1.880887e-11,0.412,400.0,0.400,8192,64
Baseline_3D,FD,182,3.627881e-10,400.044189,0.044189,1.025913e-11,0.413,400.0,0.400,8192,64
Baseline_3D,FD,183,3.550669e-10,400.043457,0.043457,7.721213e-12,0.420,400.0,0.400,8192,64
Baseline_3D,FD,184,3.594155e-10,400.042664,0.042664,4.348633e-12,0.406,400.0,0.400,8192,64
Baseline_3D,FD,185,3.272705e-10,400.041809,0.041809,3.214495e-11,0.417,400.0,0.400,8192,64
Baseline_3D,FD,186,3.356334e-10,400.040894,0.040894,8.362810e-12,0.412,400.0,0.400,8192,64
Baseline_3D,FD,187,3.116124e-10,400.039978,0.039978,2.402095e-11,0.418,400.0,0.400,8192,64
Baseline_3D,FD,188,3.043089e-10,400.039001,0.039001,7.303547e-12,0.413,400.0,0.400,8192,64
Baseline_3D,FD,189,2.794850e-10,400.038055,0.038055,2.482389e-11,0.416,400.0,0.400,8192,64
Baseline_3D,FD,190,2.738924e-10,400.037140,0.037140,5.592610e-12,0.420,400.0,0.400,8192,64
Baseline_3D,FD,191,2.488751e-10,400.036224,0.036224,2.501721e-11,0.414,400.0,0.400,8192,64
Baseline_3D,FD,192,2.342105e-10,400.035370,0.035370,1.466460e-11,0.418,400.0,0.400,8192,64
Baseline_3D,FD,193,2.339891e-10,400.034576,0.034576,2.214895e-13,0.416,400.0,0.400,8192,64
